#rev	#lex	#lex_freq	#homonym	#pos	#grams	#grams2	#flextype	#number	#form2	#form3	#translation	#comment	– не учит., 0 без перевода, ! что-то не так (с синонимами), нужен синоним g посм грам, p местоимения, ? сложно, ?? Непонятно, с — хочется спросить носителя, o — написал свою глоссу, h дефис, s генитив, m - явно опечатка	#gloss									
է	#է	7357324	1	N		inanim	N11				the seventh letter of the Armenian alphabet, seven		–	letter.e	the seventh letter of the Armenian alphabet	seven							
է	է	7357324		V		intr	V41 չի=pres,sg,3,neg ա=pres,sg,3,oral	1			be	defective		be	be								
է	է#	7357324	2	INTJ									0										
ւե	եւ	2009280		CONJ							and, too, either			and	and	too	either						
րո	որ	1533527	1	PRON,A,intrg			P11				which			which	which								
րո	որ	1533527	2	CONJ							in order that/to, so that, if			if	in order that/to	so that	if						
ան	նա	1129856		PRON,S,hum			P21				he, she, it			it	he	she	it						
ւո	#ու	885128	1	N		inanim	N11				the thirty-fourth letter of the Armenian alphabet, seven thousand		–	letter.u	the thirty-fourth letter of the Armenian alphabet	seven thousand							
ւո	ու	885128	2	CONJ							and			and	and								
ւո	ու#	885128	3	INTJ									0										
սե	ես	820470		PRON,S,hum	sg		P31a				I			me	I								
ըքնի	ինքը	778121		PRON,S,hum	sg		P23				(he) himself			oneself	(he) himself								
իմ	մի	684701	1	NUM,card				001			one, some			one	one	some							
իմ	մի	684701	2	PART							don't; now!		отрицание при императиве	PROH	don't	;	now!						
քնեմ	մենք	480854		PRON,S,hum	pl		P31c				we			we	we								
դյա	այդ	476327		PRON,dem							that			that	that								
լեսա	ասել	458160		V		intr	V11c	1			say, communicate, report	oral some forms		say	say	communicate	report						
լէ	էլ	445851		PART							also, too, either			also	also	too	either						
րամահ	համար	425275	1	N		inanim	N12				number, account, size			number	number	account	size						
րամահ	համար	425275	2	POST							for, in order to, for the sake of			for	for	in order to	for the sake of						
լենիլ	լինել	409311		V		intr	V31b	1			be			be	be								
րի	իր	406568		N		inanim	N11				thing, object, article			thing	thing	object	article						
եթ	թե	377650		CONJ							that, or		??	that	that	or							
լԷ	#էլ	375580		N	topn	inanim	N11							PN									
ջեմ	մեջ	371316		POST			N13a/N11				in, inside, middle			in	in	inside	middle						
ակ	կա	364977		V		intr	V42	1			there is/are	defective	Может быть лучше be?	there.is	there is/are								
չնի	ինչ	349704		PRON,S,intrg	sg		N11				what, that			what	what	that							
լատ	տալ	330099	2	N		anim,hum	N11/N61				sister-in-law (husband's sister)			sister.in.law	sister-in-law (husband's sister)								
լատ	տալ	330099		V		tr	V32b	1			give, distribute, give up			give	give	distribute	give up						
նյա	այն	316794		PRON,dem							that			that	that								
լանենւո	ունենալ	308812		V		tr	V43	1			have, own, have on	V43/V22 included		have	have	own	have on						
տեհ	հետ	304491	1	POST			N12				back			back	back								
տեհ	հետ	304491	2	ADV							with, coupled with			with	with	coupled with							
սյա	այս	302579	1	N		inanim	N11				this			this	this								
սյա	այս	302579	2	PRON,dem							this			this	this								
նատսայաՀ	#Հայաստան	289254	1	N	persn,f,apl+	anim,hum	N12							PN									
նատսայաՀ	Հայաստան	289254	2	N	topn	inanim	N12				Armenia			Armenia									
լագ	գալ	284843	2	A			N11				come, arrive, set in		!	arrival	come	arrive	set in						
լագ	գալ	284843		V		intr	V32a	1			come, arrive, set in	oral some forms	!	come	come	arrive	set in						
չո	ոչ	283059		PART							no			no	no								
ադ	#դա	281509	2	N		inanim	N15a						0										
ադ	դա	281509	1	PRON,dem			P21				this, that, it			that	this	that	it						
կսի	իսկ	280113	2	CONJ							while, but		??	while	while	but							
կսի	իսկ	280113	1	PART							namely, true			true	namely	true							
ցյաբ	բայց	277636		CONJ							but, however			but	but	however							
սամ	մաս	268825		N		inanim	N11				part, share, department			part	part	share	department						
ւոդ	դու	258317		PRON,S,hum	sg		P31b				you, thou			thou	you	thou							
աԴ	#Դա	254352		N	topn	inanim	N15a							PN									
լերակ	կարել	249415		V		tr	V11	1			sew, sew together, sew up/on (to)			sew	sew	sew together	sew up/on (to)						
արվ	վրա	243202		POST			N15/N26				on			on	on								
ջառա	առաջ	237398		POST			N12/N51				before, front side, ahead			before	before	front side	ahead						
դրամ	մարդ	229222		N		anim,hum	N25/N12				man, person, soul			person	man	person	soul						
տաշ	շատ	214132		A			N11				a great deal, much, many			much	a great deal	much	many						
կեմ	մեկ	211799		NUM,card			N11	001			one			one	one								
լենա	անել	209920	1	A			N12				desperate, hopeless			desperate	desperate	hopeless							
լենա	անել	209920		V		tr	V14a	1			do, make, make up			do	do	make	make up						
ւեան	նաեւ	207488		CONJ							also, either, including			also	also	either	including						
նիսամ	մասին	198727		POST							about, concerning			about	about	concerning							
սեպչնի	ինչպես	195953		PRON,ADV,intrg							how			how	how								
քւոդ	դուք	194971		PRON,S,hum	pl		P31d				you			you	you								
լեվա	ավել	194037	2	N		inanim	N12				broom			broom	broom								
լեվա	ավել	194037	1	CONJ							more, besides			more	more	besides							
րօ	օր	188269		N		inanim	N53/N11				day, afternoon			day	day	afternoon							
լաներակ	կարենալ	185758		V	oral	intr	V22	1			be able to, know how to	MA		be.able.to	be able to	know how to							
րոլոբ	բոլոր	185642		A			N12				all			all	all								
մակ	կամ	184438	1	N		inanim	N11				threshing-machine			threshing.machine	threshing-machine								
մակ	կամ	184438	2	CONJ							or			or	or								
նարն	նրան	181539		N		inanim	N12				him			him	him								
կանամաժ	ժամանակ	180496		N		inanim	N12/N51				time, period, season			period	time	period	season						
լելեվա	ավելել	179688		V		tr	V11	1			add			add	add								
իլեվա	ավելի	179657		ADV							more			more	more								
ղորակ	կարող	179545		A			N12				capable, mighty, well-to-do			capable	capable	mighty	well-to-do						
բրե	երբ	177800		CONJ							when, while			when	when	while							
րոն	նոր	176608		A			N11				new, modern, recent			new	new	modern	recent						
լենսետ	տեսնել	175716		V		tr	V12a	1			see, look			see	see	look							
ծեմ	մեծ	174853		A			N11				big, elder, adult			big	big	elder	adult						
քտեպ	պետք	173710		N		inanim	N11 չպետք=neg				want, necessity	չպետք=neg		necessity	want	necessity							
լանգ	գնալ	173553		V		intr	V21	1			go, walk			go	go	walk							
ոտեհ	հետո	173399		ADV							afterwards, after, then			then	afterwards	after	then						
նաբ	բան	171670		N		inanim	N11				affair, thing, pursuit			affair	affair	thing	pursuit						
